;adjektiivi;proadjektiivi;partisiippi;luonnehtiva substantiivi;materiaalinnimi;hukassa;
Cannery;;;;;;1;1
Row;;;;;;1;1
Kalifornian ;;;;;;1;1
Montereyn ;;;;;;1;1
kaupungin;;;;;;1;1
katu;;;;;;1;1
on;;;;;;1;1
runoelma;;;;1;;;1
löyhkä;;;;1;;;1
se;;;;;;1;1
on;;;;;;1;1
kirskuva;;;1;;;;1
ääni,;;;;;;1;1
valonsävy;;;;1;;;1
sävel;;;;1;;;1
tottumus;;;;1;;;1
kotikaipuun;;;;;;1;1
tunne;;;;;;1;1
unelma;;;;1;;;1
Cannery ;;;;;;1;1
Row;;;;;;1;1
on;;;;;;1;1
rykelmäinen;1;;;;;;1
ja;;;;;;1;1
hajallinen;1;;;;;;1
paljous;;;;1;;;1
peltiä;;;;;1;;1
ja ;;;;;;1;1
rautaa;;;;;1;;1
ja;;;;;;1;1
ruostetta;;;;;1;;1
ja ;;;;;;1;1
puun;;;;;;1;1
pirstaleita;;;;1;;;1
lohkeillutta;;;1;;;;1
katukäytävää;;;;;;1;1
ja ;;;;;;1;1
rikkaruohon;;;;;;1;1
valtaamia;;;1;;;;1
tontteja;;;;;;1;1
ja ;;;;;;1;1
romukasoja;;;;;;1;1
aaltopeltisiä;1;;;;;;1
sardiinisäilyketehtaita;;;;;;1;1
kapakoita;;;;;;1;1
ravintoloita;;;;;;1;1
ja ;;;;;;1;1
porttoloita;;;;;;1;1
ja ;;;;;;1;1
pieniä;1;;;;;;1
täyteen;1;;;;;;1
ahdettuja;;;1;;;;1
sekatavarapuoteja;;;;;;1;1
ja ;;;;;;1;1
laboratorioita;;;;;;1;1
ja ;;;;;;1;1
ruokalanmurjuja;;;;;;1;1
siellä;;;;;;1;1
asustaa;;;;;;1;1
kuten;;;;;;1;1
muuan ;;;;;;1;1
mies;;;;;;1;1
kerran;;;;;;1;1
sanoi;;;;;;1;1
porttoja;;;;;;1;1
sutenöörejä;;;;;;1;1
pelureita;;;;;;1;1
ja ;;;;;;1;1
suuria;1;;;;;;1
lurjuksia;;;;1;;;1
näin;;;;;;1;1
sanoessaan;;;;;;1;1
hän;;;;;;1;1
tarkoitti;;;;;;1;1
Kaikkia;;;;;;1;1
Mahdollisia;1;;;;;;1
ihmisiä;;;;;;1;1
jos;;;;;;1;1
tämä;;;;;;1;1
mies;;;;;;1;1
olisi;;;;;;1;1
katsellut;;;;;;1;1
muusta;;;;;;1;1
tirkistysreiästä;;;;;;1;1
hän ;;;;;;1;1
olisi;;;;;;1;1
ehkä;;;;;;1;1
sanonut;;;;;;1;1
pyhimyksiä;;;;1;;;1
ja;;;;;;1;1
enkeleitä;;;;1;;;1
ja ;;;;;;1;1
marttyyreita;;;;1;;;1
ja;;;;;;1;1
hurskaita;1;;;;;;1
miehiä;;;;;;1;1
ja;;;;;;1;1
olisi;;;;;;1;1
kuitenkin;;;;;;1;1
tarkoittanut;;;;;;1;1
aivan;;;;;;1;1
samaa;;;;;;1;1