;Sanaluokka;konkreettinen substantiivi;abstrakti substantiivi;toiminta-substantiivi;erisnimi;pronomini;hukassa;infinitiivi;muu nomini
Tutkijat;1;1;;;;;;;
selvittivät;0;;;;;;1;;
kuinka;0;;;;;;1;;
kutitus;1;;;1;;;;;
tarttuu;0;;;;;;1;;
Raapimisen;1;;;1;;;;;
katselu;1;;;1;;;;;
vapauttaa;0;;;;;;1;;
hormonia;1;;1;;;;;;
joka;0;;;;;1;;;
saa;0;;;;;;1;;
rapsuttelemaan.;0;;;;;;;1;
Kun;0;;;;;;1;;
jonkun;0;;;;;1;;;
näkee;0;;;;;;1;;
raapivan;0;;;;;;1;;
tekee;0;;;;;;1;;
mieli;1;;1;;;;;;
itsekin;0;;;;;1;;;
raapia.;0;;;;;;1;;
Kun;0;;;;;;1;;
seurueessa;1;1;;;;;;;
yksi;1;;;;;;;;1
alkaa;0;;;;;;1;;
rapsuttaa;0;;;;;;1;;
itseään;1;;;;;1;;;
muitakin;1;;;;;1;;;
alkaa;0;;;;;;1;;
kutittaa;0;;;;;;1;;
olipa;0;;;;;;1;;
kyseessä;1;;1;;;;;;
ihmisten;1;1;;;;;;;
tai;0;;;;;;1;;
muiden;0;;;;;1;;;
apinoiden;1;1;;;;;;;
kokoontuminen.;1;;;1;;;;;
Syytä;1;;1;;;;;;
on;0;;;;;;1;;
pohdittu;0;;;;;;1;;
pitkään.;1;;;;;;;;1
Tutkijat;1;1;;;;;;;
saivat;0;;;;;;1;;
uuden;1;;;;;;;;1
vihjeen;1;1;;;;;;;
mysteeriin;1;1;;;;;;;
huomattuaan;0;;;;;;1;;
että;0;;;;;;1;;
kutitus;1;;;1;;;;;
tarttuu;0;;;;;;1;;
myös;0;;;;;;1;;
hiirillä.;1;1;;;;;;;
Kutitus;1;;;1;;;;;
on;0;;;;;;1;;
hyvin;0;;;;;;1;;
tarttuvaa;0;;;;;;1;;
kertoo;0;;;;;;1;;
Washingtonin;1;;;;1;;;;
yliopiston;1;1;;;;;;;
kutitustutkimuksen;1;1;;;;;;;
keskuksen;1;1;;;;;;;
johtaja;1;1;;;;;;;
Zhou-Feng Chen;1;;;;1;;;;
tiedotteessa.;1;1;;;;;;;
Kokeessa;1;;1;;;;;;
tutkijat;1;1;;;;;;;
näyttivät;0;;;;;;1;;
hiirelle;1;1;;;;;;;
videon;1;1;;;;;;;
jossa;0;;;;;1;;;
lajitoveri;1;1;;;;;;;
rapsutti;0;;;;;;1;;
korvantaustaansa;1;1;;;;;;;
jyrsijöille;1;1;;;;;;;
tyypilliseen;1;;;;;;;;1
tapaan;1;;1;;;;;;
takajalkaansa;1;1;;;;;;;
vispaten.;0;;;;;;1;;
Vaikka;0;;;;;;1;;
hiirten;1;1;;;;;;;
näköaisti;1;;1;;;;;;
tiedetään;0;;;;;;1;;
huonoksi;1;;;;;;;;1
liike;1;;;1;;;;;
tarttui;0;;;;;;1;;
muutamassa;0;;;;;1;;;
sekunnissa;1;;1;;;;;;
videon;1;1;;;;;;;
katsojaan.;1;1;;;;;;;
Näin;0;;;;;;1;;
tutkijat;1;1;;;;;;;
saivat;0;;;;;;1;;
tilaisuuden;1;;1;;;;;;
tutkia,;0;;;;;;1;;
miten;0;;;;;;1;;
kutitus;1;;;1;;;;;
siirtyy.;0;;;;;;1;;
Tapahtuma;1;;1;;;;;;
näkyi;0;;;;;;1;;
aktivoivan;0;;;;;;1;;
aivojen;1;1;;;;;;;
hypotalamuksessa;1;1;;;;;;;
sijaitsevaa;0;;;;;;1;;
suprakiasmaattista;1;;;;;;;;1
tumaketta,;1;;1;;;;;;
joka;0;;;;;1;;;
huolehtii;0;;;;;;1;;
esimerkiksi;1;;1;;;;;;
uni-valverytmin;1;;1;;;;;;
säätelystä.;1;;;1;;;;;
Kun;0;;;;;;1;;
hiiri;1;1;;;;;;;
näki;0;;;;;;1;;
toisen;0;;;;;1;;;
rapsuttavan,;0;;;;;;1;;
tumake;1;;1;;;;;;
vapautti;0;;;;;;1;;
hormonia,;1;;1;;;;;;
jota;0;;;;;1;;;
kutsutaan;0;;;;;;1;;
gastriinia;1;;1;;;;;;
vapauttavaksi;0;;;;;;1;;
peptidiksi (grp).;1;;1;;;;;;